name,empty_slots,free_bikes,latitude,longitude,timestamp
Galilée - Kléber,30,1,48.86741186571367,2.290781380114821,2023-12-06T02:45:10.308000Z
Richard Lenoir - Jean-Pierre Timbaud,19,15,48.865804276686,2.3693370749669,2023-12-06T02:45:10.761000Z
Legendre - Dulong,18,4,48.885325169402904,2.316423766314984,2023-12-06T02:45:10.576000Z
Bosquet - Saint-Dominique,8,18,48.85865170952645,2.303716580234576,2023-12-06T02:45:11.298000Z
Chemin Vert - Saint-Maur,4,40,48.86112461407359,2.381299026310444,2023-12-06T02:45:10.788000Z
Quai Panhard et Levassor,20,36,48.82837482809675,2.384273745805574,2023-12-06T02:45:09.314000Z
Square du Théâtre du Garde-Chasse,39,11,48.881287375060616,2.420119643211365,2023-12-06T02:45:09.410000Z
Botzaris - Parc des Buttes Chaumont,8,12,48.877951,2.381464,2023-12-06T02:45:11.329000Z
Faubourg Montmartre - La Fayette,27,5,48.87525454905335,2.340853661298752,2023-12-06T02:45:09.871000Z
Joseph Liouville - Croix Nivert,39,25,48.844835471244416,2.297508493065834,2023-12-06T02:45:12.135000Z
Place Madeleine Daniélou,31,10,48.883498,2.282015,2023-12-06T02:45:10.629000Z
Estrapade - Ulm,15,1,48.84512772828,2.3454568170362,2023-12-06T02:45:09.548000Z
Parmentier - République,30,20,48.8644954,2.3750124,2023-12-06T02:45:10.320000Z
Lieutenant Chauré - Etienne Marey,14,6,48.86746195408435,2.405970990657807,2023-12-06T02:45:09.469000Z
Cujas - Saint-Michel,18,1,48.848191348584,2.341831654854,2023-12-06T02:45:09.998000Z
Flandre - Alphonse Karr,10,15,48.89465,2.381868,2023-12-06T02:45:11.198000Z
Larmeroux - Baudelaire,10,18,48.816939911292,2.2809894804846,2023-12-06T02:45:10.346000Z
Jean-François Lépine - Stephenson,3,19,48.88611466796807,2.356855627529275,2023-12-06T02:45:11.796000Z
Messine - Place Du Pérou,10,2,48.875448033960744,2.315508019010038,2023-12-06T02:45:10.361000Z
Beffroy,18,6,48.886591074487995,2.261394560337067,2023-12-06T02:45:09.627000Z
Molitor - Chardon-Lagache,28,4,48.84520880183234,2.2656840831041336,2023-12-06T02:45:11.663000Z
Général De Gaulle - Alouette,3,22,48.839109,2.4175664,2023-12-06T02:45:10.995000Z
Abbé Carton - Plantes,20,4,48.827673823165846,2.320918142795563,2023-12-06T02:45:10.595000Z
Marie-Georges Picquart - Pereire,24,8,48.88863669349711,2.3111706599593163,2023-12-06T02:45:11.892000Z
Sablons - Georges Mandel,37,0,48.863875,2.28189,2023-12-06T02:45:09.240000Z
Gare RER de Vincennes,49,2,48.847563015126106,2.433383166790009,2023-12-06T02:45:11.104000Z
Villette - Belleville,35,11,48.8726877314,2.376461327076,2023-12-06T02:45:10.464000Z
Théophile Gautier - François Millet,8,21,48.85034821320644,2.273029983043671,2023-12-06T02:45:09.986000Z
Edouard Vaillant - Galliéni,36,12,48.858462881661,2.4147954583168,2023-12-06T02:45:09.892000Z
Marché Secrétan,21,4,48.88125496379482,2.373463287949562,2023-12-06T02:45:09.699000Z
Quai de l'Aisne - Général Leclerc,14,9,48.895713,2.400571,2023-12-06T02:45:10.063000Z
Mairie du 11ème,3,44,48.858925,2.3789759,2023-12-06T02:45:11.633000Z
Auguste Cain - Jean Moulin,33,7,48.82577028927573,2.3210415244102482,2023-12-06T02:45:09.950000Z
Volontaire - Lecourbe,1,30,48.8435137879902,2.3065522313117985,2023-12-06T02:45:10.637000Z
Lakanal - Commerce,39,14,48.84442462786544,2.294059172272682,2023-12-06T02:45:10.810000Z
Miromesnil - La Boétie,33,2,48.87372241291653,2.315848097205162,2023-12-06T02:45:09.359000Z
Marseille - Beaurepaire,35,17,48.871624306962985,2.3639265082738348,2023-12-06T02:45:09.373000Z
Mathurins - Auber,33,3,48.872988840744,2.3294984212276,2023-12-06T02:45:11.627000Z
Saint-Germain - Thenard,26,4,48.850571,2.3471015,2023-12-06T02:45:10.019000Z
Square d'Anvers,31,2,48.882633484311,2.3448844062122,2023-12-06T02:45:10.454000Z
Arago - Glacière,1,25,48.83486054775774,2.3445770524322067,2023-12-06T02:45:11.749000Z
Mairie d'Ivry-sur-Seine,1,52,48.81057120969284,2.3842826485633855,2023-12-06T02:45:09.620000Z
Parc Georges Brassens - Brancion,6,21,48.83227829269761,2.3022570088505745,2023-12-06T02:45:10.773000Z
Parmentier - Abel Rabaud,33,17,48.86921273836114,2.371688821240712,2023-12-06T02:45:12.206000Z
Place Paul Eluard,0,17,48.7672039733195,2.4144977331161503,2023-12-06T02:45:09.281000Z
Exelmans - Michel-Ange,25,8,48.84309486651855,2.2597770800669053,2023-12-06T02:45:10.594000Z
Pierret - Madrid,19,6,48.882976576876565,2.260125767248034,2023-12-06T02:45:10.709000Z
Reims - Raymond Pitet,17,19,48.8888,2.296319,2023-12-06T02:45:09.857000Z
Saint-Vincent - Verdun,7,27,48.819211549234495,2.254007756710053,2023-12-06T02:45:11.661000Z
Grand Prieuré - Crussol,33,15,48.864660627935,2.3692265531829,2023-12-06T02:45:11.630000Z
Claude Debussy - Marc Bloch,35,21,48.910388180512,2.3117771744728,2023-12-06T02:45:09.729000Z
Aristide Briand - Gare de Bagneux,20,2,48.79387269664978,2.321148812770844,2023-12-06T02:45:11.613000Z
Parc Roger Salengro,5,30,48.905303858642,2.31055945158,2023-12-06T02:45:10.784000Z
Seine - Flandre,10,8,48.886785741479684,2.3746193200349808,2023-12-06T02:45:09.750000Z
Hautpoul - Jean Jaurès,11,21,48.886393679436,2.3865414544355,2023-12-06T02:45:11.476000Z
Chemin Vert - Fraternité,3,16,48.877141208359035,2.4461565166711807,2023-12-06T02:45:11.808000Z
Laumière - Petit,0,33,48.88467368538326,2.380039058625698,2023-12-06T02:45:09.688000Z
Wilson - Métallurgie,12,15,48.909423010092326,2.3584435880184174,2023-12-06T02:45:12.145000Z
Madame de Sanzillon - Mozart,8,11,48.90379820774301,2.3187401890754704,2023-12-06T02:45:11.852000Z
Mairie du 7ème,23,3,48.8577967,2.3192664,2023-12-06T02:45:09.278000Z
Charonne - Faubourg Saint-Antoine,10,22,48.852191909696,2.3740932717919,2023-12-06T02:45:12.449000Z
