lat&lon,name_of_business,distance_on_4sq,address
48.87929591733507_2.3373600840568547,La Bohème du Tertre,876,2 place du Tertre
48.87929591733507_2.3373600840568547,Murphy's House,869,10 rue de la Chaussée d'Antin
48.87929591733507_2.3373600840568547,Le Vrai Paris,642,33 rue des Abbesses
48.87929591733507_2.3373600840568547,16 Haussmann,737,16 boulevard Haussmann
48.87929591733507_2.3373600840568547,Le Saint Jean,590,23 rue des Abbesses
48.855907555969_2.3925706744194,Fulgurances l'Adresse,381,10 rue Alexandre Dumas
48.855907555969_2.3925706744194,L'Abribus,487,56 rue de Bagnolet
48.855907555969_2.3925706744194,Bistrot Paul Bert,690,"18 rue Paul Bert, 11e"
48.855907555969_2.3925706744194,Café Titon,563,"34 rue Titon, 11e"
48.855907555969_2.3925706744194,Clamato,899,"80 rue de Charonne, Paris"
48.855907555969_2.3925706744194,Septime,890,"80 rue de Charonne, 11e"
48.855907555969_2.3925706744194,Arkose Nation,883,35 rue des Grands Champs
48.855907555969_2.3925706744194,Louie Louie,924,78 rue de Charonne
48.855907555969_2.3925706744194,Automne,756,11 rue Richard Lenoir
48.855907555969_2.3925706744194,Bluebird,949,12 rue Saint Bernard
48.855907555969_2.3925706744194,COMETS · Café & disques,415,38 rue Léon Frot
48.855907555969_2.3925706744194,Le Servan,1006,32 rue Saint-Maur
48.855907555969_2.3925706744194,Le 6 Paul Bert,779,"6 rue Paul Bert, 12e"
48.855907555969_2.3925706744194,Yard,407,"6 rue de mont Louis, 11e"
48.855907555969_2.3925706744194,Aux Bons Crus,934,54 rue Godefroy Cavaignac
48.855907555969_2.3925706744194,Yoshi,458,193 boulevard Voltaire
48.855907555969_2.3925706744194,Trois Crabes,908,17 rue Claude Tillier
48.855907555969_2.3925706744194,Peppe Pizzeria,969,2 place Saint-Blaise
48.855907555969_2.3925706744194,Bar Mama Shelter,850,Mama Shelter
48.855907555969_2.3925706744194,Waly-Fay,805,6 rue Godefroy Cavaignac 11E
48.855907555969_2.3925706744194,Il Capriccio,301,116 boulevard de Charonne 75020
48.855907555969_2.3925706744194,Le Pure Café,740,"14 rue Jean Macé, 11e"
48.855907555969_2.3925706744194,Le Bec Salé,817,119 rue de la Roquette
48.855907555969_2.3925706744194,Au Ciel,676,97 rue de Charonne
48.855907555969_2.3925706744194,Jones,905,43 rue Godefroy Cavaignac
48.855907555969_2.3925706744194,Chez Prosper,913,7 avenue du Trône
48.855907555969_2.3925706744194,Royal VI Nation,733,7 place de la Nation
48.855907555969_2.3925706744194,Les Blouses Blanches,943,186 rue du Faubourg Saint-Antoine
48.855907555969_2.3925706744194,Le Bidule,847,2 rue Faidherbe
48.855907555969_2.3925706744194,Les Enfants de la Balle,457,84 boulevard de Charonne
48.855907555969_2.3925706744194,Les Polissons,869,1 avenue Gambetta
48.855907555969_2.3925706744194,Patricks le Ballon Vert,747,33 rue de Montreuil
48.855907555969_2.3925706744194,Le Dalou,930,30 place de la Nation
48.855907555969_2.3925706744194,Le Terminus Nation,960,1 cours de Vincennes
48.855907555969_2.3925706744194,Chez Mamy,639,3 rue Jules Vallès
48.855907555969_2.3925706744194,Le Triomphe,937,6 place de la Nation
48.855907555969_2.3925706744194,Nossa Churrasqueira Paris 11,308,147 boulevard de Charonne
48.855907555969_2.3925706744194,Aux Saveurs d'Oliver,357,32 rue de Bagnolet
48.855907555969_2.3925706744194,L'aperonome,366,4 boulevard de Ménilmontant
