lat&lon,name_x,address,distance,name_y,rating,reviews,distance_on_yelp
48.893923963057865_2.39790290594101,Cité des Sciences et de l'Industrie,30 avenue Corentin Cariou,347,La Cité des Enfants,4.5,13,760.0
48.84702057165222_2.3464982619671075,Jozi Café,3 rue Valette,545,Jozi Café,5.0,35,105.0
48.84702057165222_2.3464982619671075,Au Père Louis,38 rue Monsieur le Prince,740,Au Père Louis,4.0,268,499.0
48.87503465588394_2.359801238597928,Holybelly 5,19 rue Lucien Sampaix,841,Holybelly 19,4.5,300,331.0
48.87503465588394_2.359801238597928,Siseng,82 quai de Jemmapes,907,Siseng,4.5,161,494.0
48.861142162761_2.3677996181077,Ober Mamma,107 boulevard Richard Lenoir,918,Ober Mamma,4.5,307,397.0
48.85154484769_2.3146149516106,L'Arpège,84 rue de Varenne,172,L'Arpège,4.0,230,499.0
48.86131452758348_2.440614402294159,Villa 9 Trois,71 rue Hoche,623,Villa 9 Trois,4.0,28,610.0
48.8667175_2.3692541,Ober Mamma,107 boulevard Richard Lenoir,753,Ober Mamma,4.5,307,264.0
48.8471116_2.3956204,L'Églantine,21 rue Fabre d'Eglantine,296,L'Eglantine,3.5,27,21.0
48.8471116_2.3956204,Fulgurances l'Adresse,10 rue Alexandre Dumas,751,Fulgurances l'Adresse,4.5,22,770.0
48.8471116_2.3956204,Le Janissaire,22-24 allée Vivaldi,754,Le Janissaire,4.0,83,671.0
48.8471116_2.3956204,Chez Prosper,7 avenue du Trône,894,Chez Prosper,3.5,280,255.0
48.886472466142_2.3328901827335,La Boite aux Lettres,108 rue Lepic,979,La Boîte aux Lettres,5.0,51,389.0
48.85708641027236_2.39841252565384,Meli Mellow,55 bis rue de Bagnolet,300,Méli Mellow,3.0,7,23.0
48.85708641027236_2.39841252565384,L'Abribus,56 rue de Bagnolet,692,L'Abribus Café,4.0,52,62.0
48.85708641027236_2.39841252565384,Fulgurances l'Adresse,10 rue Alexandre Dumas,330,Fulgurances l'Adresse,4.5,22,777.0
48.9155156_2.3814103,Le Chien Qui Fume,193 avenue Victor Hugo,124,Le Chien Qui Fume,3.0,1,177.0
48.9155156_2.3814103,Kiss n'Food,53 rue de la Commune de Paris,743,Le 53,5.0,1,563.0
48.83372430280548_2.271385453641414,Big Fernand,30 rue Ernest Renan,646,Big Fernand,4.0,12,949.0
48.83372430280548_2.271385453641414,Au Trinquet,8 quai Saint-Exupéry,677,Trinquet Village,4.0,18,658.0
48.87403113727167_2.38959476351738,Afrik'N'Fusion,330 rue des Pyrénées,371,Afrik'N'Fusion 20ème,4.0,18,107.0
48.84780306364685_2.445141971111298,Barto,22 avenue de Paris,433,Absolu,4.0,24,756.0
48.84780306364685_2.445141971111298,Barto,22 avenue de Paris,433,BARTO,4.0,8,756.0
48.89738369720229_2.395998537540436,Pathé la Villette,30 avenue Corentin Cariou,533,Cité des Sciences et de l'Industrie,4.0,119,624.0
48.89738369720229_2.395998537540436,Pathé la Villette,30 avenue Corentin Cariou,533,La Cité des Enfants,4.5,13,603.0
48.89738369720229_2.395998537540436,Cité des Sciences et de l'Industrie,30 avenue Corentin Cariou,646,Cité des Sciences et de l'Industrie,4.0,119,624.0
48.89738369720229_2.395998537540436,Cité des Sciences et de l'Industrie,30 avenue Corentin Cariou,646,La Cité des Enfants,4.5,13,603.0
48.89738369720229_2.395998537540436,Cité de la Musique,221 avenue Jean Jaurès,633,Philharmonie de Paris,4.5,23,912.0
48.871244610447015_2.40390568971634,Benoît Castel,150 rue de Ménilmontant,657,Benoît Castel,4.0,19,430.0
48.871244610447015_2.40390568971634,Aux Ours,236 rue des Pyrénées,236,Aux Ours,3.5,29,673.0
48.88633710236977_2.407338917255402,Ciné 104,104 avenue Jean Lolive,496,Vertigo,4.5,3,619.0
48.88633710236977_2.407338917255402,Au Royal Couscous,39 rue André Joineau,877,Au Royal Couscous,4.0,11,275.0
48.864920982538_2.3025491823859,Gigi Paris,15 avenue Montaigne,421,Maison Blanche,3.5,138,98.0
48.864920982538_2.3025491823859,Manko,15 avenue Montaigne,612,Maison Blanche,3.5,138,98.0
48.864920982538_2.3025491823859,Chez Francis,7 place de l'Alma,942,Chez Francis,3.0,194,61.0
48.818144834008976_2.271184623241425,La Factory Burger,16 rue René Jacques,984,La Factory,4.5,8,944.0
48.818144834008976_2.271184623241425,La Factory Burger,16 rue René Jacques,984,Le Libanais,5.0,2,960.0
48.8927825_2.3635598,Olympic Café,20 rue Léon,879,L'Olympic Café,4.0,31,903.0
48.8927825_2.3635598,Chez Meunier,2 rue de la Chapelle,888,Au Roi du Café,4.0,35,366.0
48.852828153442_2.2978776320815,Restaurant 58 Tour Eiffel,5 avenue Anatole France,949,La Tour Eiffel,4.5,2052,664.0
48.852828153442_2.2978776320815,Au Dernier Métro,70 boulevard de Grenelle,925,Au Dernier Métro,4.0,175,446.0
48.83769531916335_2.275374233722687,Au Trinquet,8 quai Saint-Exupéry,799,Trinquet Village,4.0,18,755.0
48.8417514_2.3413893,Arrivederci Pizzeria,47 rue Gay-Lussac,945,Arrivederci,4.5,18,158.0
48.8417514_2.3413893,Au P'tit Grec,68 rue Mouffetard,299,Au P'tit Grec,4.5,219,608.0
48.88467214209463_2.391969859600068,Cité de la Musique,221 avenue Jean Jaurès,404,Philharmonie de Paris,4.5,23,532.0
48.88467214209463_2.391969859600068,Au Bœuf Couronné,188 avenue Jean Jaurès,360,Au Boeuf Couronné,4.0,98,407.0
48.88467214209463_2.391969859600068,Simonetta,32 quai de la Marne,807,Simonetta,4.5,7,855.0
48.88467214209463_2.391969859600068,Les Bancs Publics,2 rue de Nantes,568,Les Bancs Publics,4.5,22,909.0
48.84394906403183_2.415081394834419,Le Picotin,35 rue Sibuet,988,Le Picotin,4.5,46,934.0
48.84394906403183_2.415081394834419,Chez Gudule,58 boulevard de Picpus,402,Chez Gudule,3.5,44,936.0
48.866830968942_2.3654810339212,Ober Mamma,107 boulevard Richard Lenoir,415,Ober Mamma,4.5,307,430.0
48.77093586667601_2.40340143442154,Love Pizza,36 rue du Docteur Roux,566,Love Pizza,4.0,4,33.0
48.77093586667601_2.40340143442154,La Tavola,40 rue Emile Zola,188,La Tavola,5.0,1,500.0
48.874575_2.356796,Holybelly 5,19 rue Lucien Sampaix,581,Holybelly 19,4.5,300,399.0
48.89401874744574_2.3319872841238976,Boulom,181 rue Ordener,616,Boulom,4.0,11,273.0
48.89401874744574_2.3319872841238976,La Boite aux Lettres,108 rue Lepic,859,La Boîte aux Lettres,5.0,51,919.0
48.87174684930295_2.3722528328789854,Radiodays,15 rue Alibert,993,Radiodays,4.5,41,364.0
48.87174684930295_2.3722528328789854,Siseng,82 quai de Jemmapes,930,Siseng,4.5,161,525.0
48.89579697978_2.3455855841349,Le Ruisseau,65 rue du Ruisseau,858,Le Ruisseau,4.5,46,389.0
48.89579697978_2.3455855841349,Sunset,100 rue Ordener,1002,Sunset,4.0,22,393.0
48.89579697978_2.3455855841349,Atelier Ramey,23 rue Ramey,938,L'Atelier Ramey,5.0,26,840.0
48.879595787608_2.3544725775719,NENI Paris,12 boulevard de Denain,905,NENI,5.0,5,35.0
48.879595787608_2.3544725775719,Brasserie Bellanger,140 rue du Faubourg Poissonnière,166,Brasserie Bellanger,5.0,21,357.0
48.84993035512154_2.294612042605877,Au Dernier Métro,70 boulevard de Grenelle,268,Au Dernier Métro,4.0,175,120.0
48.84993035512154_2.294612042605877,Le Café du Commerce,51 rue du Commerce,252,Le Café du Commerce,3.5,202,395.0
48.859358523593_2.3896131366845,Fulgurances l'Adresse,10 rue Alexandre Dumas,415,Fulgurances l'Adresse,4.5,22,717.0
48.831632518292565_2.3293121159076686,Les Jardins Contini,49 avenue du Général Leclerc,622,Les Jardins Contini,3.5,28,207.0
48.8415473058801_2.233161628246308,Chez Madeleine,39 rue de Paris,971,Chez Madeleine,4.5,21,911.0
48.81527009991819_2.298078276995073,Le Chistèra,38 rue Guy Moquet,274,Le Chistèra,2.5,3,226.0
48.81527009991819_2.298078276995073,Amago Sushi,89 rue Guy Moquet,590,Amago Sushi,3.0,3,99.0
48.81527009991819_2.298078276995073,Le Bistrot,61 rue Paul Vaillant Couturier,484,Le Bistrot Malakoff,3.0,1,223.0
48.876111_2.4677312,Léon de Bruxelles,32 rue Jules Ferry,920,Léon de Bruxelles,2.5,11,715.0
48.83495885166784_2.241680324077606,Pedra Alta,6 avenue du Général Leclerc,805,Pedra Alta,4.0,69,170.0
48.83495885166784_2.241680324077606,Plantxa,58 rue Gallieni,821,Plantxa,4.5,8,490.0
48.83495885166784_2.241680324077606,Chez Madeleine,39 rue de Paris,864,Chez Madeleine,4.5,21,622.0
48.81111581390707_2.314573862444816,Au Couscous,47 rue Fénelon,248,Au Couscous,4.5,4,70.0
48.82941_2.375934,La Felicità,55 boulevard Vincent Auriol,770,La Felicità,4.0,27,572.0
48.89110239200789_2.402843534946442,Cité de la Musique,221 avenue Jean Jaurès,818,Philharmonie de Paris,4.5,23,690.0
48.89110239200789_2.402843534946442,Grande Halle de la Villette,211 avenue Jean Jaurès,576,Parc de la Villette,4.0,35,801.0
48.89110239200789_2.402843534946442,Au Bœuf Couronné,188 avenue Jean Jaurès,652,Au Boeuf Couronné,4.0,98,896.0
48.8210923742561_2.333725690841675,Café Chinchin,25 avenue Reille,917,Chinchin,4.0,9,363.0
48.89237189825042_2.205548956990242,L'Apostrophe,9 rue Maurice Thorez,741,L'Apostrophe,4.5,8,790.0
48.89237189825042_2.205548956990242,Au Petit Thai (Au Petit Thaï),59 rue Volant,608,Au Petit Thaï,4.5,3,550.0
48.890451120965_2.3490573929687,Atelier Ramey,23 rue Ramey,987,L'Atelier Ramey,5.0,26,297.0
48.848563233059_2.3204218259346,Restaurant Plume,24 rue Pierre Leroux,608,Plume,4.5,20,92.0
48.821475594736775_2.3026576638221745,Wahaha,24 avenue Pierre Larousse,807,Wahaha,4.5,3,196.0
48.85742170807208_2.437578141689301,Le Drunken,19 rue Girard,383,Le Drunken,4.5,6,277.0
48.82753962462998_2.2416052222251897,Le Phare de Boulogne,179 rue du Vieux Pont de Sèvres,465,Le Phare,4.0,3,341.0
48.82753962462998_2.2416052222251897,Pedra Alta,6 avenue du Général Leclerc,569,Pedra Alta,4.0,69,667.0
48.790114_2.4025777,Seven Sushi,100 rue de Choisy,1055,Le Délice Du Wok,4.0,1,523.0
48.790114_2.4025777,Seven Sushi Halal jap thaï,100 rue de Choisy,604,Le Délice Du Wok,4.0,1,523.0
48.8798926_2.2587671,Louis Vuitton Foundation (Fondation Louis Vuitton),8 avenue du Mahatma Gandhi,773,Le Frank,3.5,11,501.0
48.8798926_2.2587671,Livio,6 rue de Longchamp,940,Chez Livio,3.5,112,525.0
